warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:43:50 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:43:57 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:43:57 PM 
info: api hit || timestamp: 04-02-2024 11:44:2 PM 
error: Cannot read properties of undefined (reading '__cdata') || timestamp: 04-02-2024 11:44:2 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:45:2 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:45:2 PM 
info: api hit || timestamp: 04-02-2024 11:45:11 PM 
error: Cannot read properties of undefined (reading '__cdata') || timestamp: 04-02-2024 11:45:11 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:46:8 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:46:8 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:46:11 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:46:11 PM 
info: api hit || timestamp: 04-02-2024 11:46:14 PM 
error: postItem.comment?.map is not a function || timestamp: 04-02-2024 11:46:14 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:46:23 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:46:23 PM 
info: api hit || timestamp: 04-02-2024 11:46:29 PM 
error: Cannot read properties of undefined (reading 'map') || timestamp: 04-02-2024 11:46:29 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:47:4 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:47:4 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:47:32 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:47:32 PM 
info: api hit || timestamp: 04-02-2024 11:47:38 PM 
error: postItem.comment?.map is not a function || timestamp: 04-02-2024 11:47:38 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:52:12 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:52:12 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:52:21 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:52:21 PM 
info: api hit || timestamp: 04-02-2024 11:52:32 PM 
error: postItem.comment?.map is not a function || timestamp: 04-02-2024 11:52:32 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:54:5 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:54:5 PM 
info: api hit || timestamp: 04-02-2024 11:54:10 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:55:19 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:55:19 PM 
info: api hit || timestamp: 04-02-2024 11:55:24 PM 
error: postItem.comment?.map is not a function || timestamp: 04-02-2024 11:55:24 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:56:11 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:56:11 PM 
info: api hit || timestamp: 04-02-2024 11:56:15 PM 
error: Cannot read properties of undefined (reading 'length') || timestamp: 04-02-2024 11:56:15 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:56:39 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:56:39 PM 
info: api hit || timestamp: 04-02-2024 11:56:45 PM 
error: postItem.comment?.map is not a function || timestamp: 04-02-2024 11:56:45 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:57:20 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:57:20 PM 
info: api hit || timestamp: 04-02-2024 11:57:24 PM 
error: postItem.comment?.map is not a function || timestamp: 04-02-2024 11:57:24 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:58:13 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:58:13 PM 
info: api hit || timestamp: 04-02-2024 11:58:19 PM 
error: Cannot read properties of undefined (reading 'lenght') || timestamp: 04-02-2024 11:58:19 PM 
info: Server is running on port 2000 || timestamp: 04-02-2024 11:58:24 PM 
warn: DEV-Database connection Successfull || timestamp: 04-02-2024 11:58:24 PM 
info: api hit || timestamp: 04-02-2024 11:58:28 PM 
error: Cannot read properties of undefined (reading 'length') || timestamp: 04-02-2024 11:58:28 PM 
